Alpha,Beta,Gamma,r_star,w_star,h_star
0.30000000000000004,0.30000000000000004,0.3999999999999999,0.4989369036509245,0.49385208414479037,2.9016888536573804
0.30000000000000004,0.4,0.29999999999999993,0.49893303048991283,0.4938495073983563,2.901581362987802
0.30000000000000004,0.5,0.19999999999999996,0.4989360949076153,0.49385185148391075,2.9016960842755437
0.30000000000000004,0.6000000000000001,0.09999999999999987,0.49893617210955465,0.493851821457876,2.9017096838180008
0.30000000000000004,0.7000000000000001,0,0.49889330126879233,0.4938518528307184,0.6025687859711102
0.4,0.0,0.6,1.2973278982815886,1.2851950520666484,3.175287829420427
0.4,0.1,0.5,0.9297622448564571,0.9208194954961381,3.3278243857279186
0.4,0.2,0.3999999999999999,0.49975724391069953,0.4946653460260073,2.903267842272863
0.4,0.30000000000000004,0.29999999999999993,0.49893681293797504,0.4938523698055406,2.9016726564097595
0.4,0.4,0.19999999999999996,0.4989362576397857,0.4938518598723185,2.9016628248354195
0.4,0.5,0.09999999999999998,0.49893610505776675,0.4938517198857782,2.901734435373051
0.4,0.6000000000000001,0,0.4988924408994802,0.493851900568692,0.5948099606322916
0.5,0.0,0.5,1.4631573817447534,1.449612108167558,2.973590266302234
0.5,0.1,0.4,1.0271633656993482,1.017366845699617,3.328691586553134
0.5,0.2,0.30000000000000004,0.5004850312945881,0.49538721078917863,2.9046194330134196
0.5,0.30000000000000004,0.19999999999999996,0.4988900487015921,0.4938532962094553,2.588681723232862
0.5,0.4,0.09999999999999998,0.49893576813740864,0.49385205272752386,2.900633293523417
0.5,0.5,0,0.4988928968573515,0.4938521280705027,0.5960681589321086
0.5,0.6000000000000001,-0.10000000000000009,0.4988883451160952,0.4938520357696985,0.5396565630054748
0.6000000000000001,0.0,0.3999999999999999,1.685695558495329,1.6702865498585282,2.5699677030317987
0.6000000000000001,0.1,0.29999999999999993,1.2001831435928652,1.1888851384892165,3.2557918391513887
0.6000000000000001,0.2,0.19999999999999996,0.49898914372673797,0.4939092116139826,2.8741922948987453
0.6000000000000001,0.30000000000000004,0.09999999999999987,0.49893571338352993,0.49385009154442266,2.9010825512758127
0.6000000000000001,0.4,0,0.4988935828086747,0.4938515592674216,0.6072039989496159
0.7000000000000001,0.0,0.29999999999999993,1.9515098501412622,1.933942644086479,1.8424630345476973
0.7000000000000001,0.1,0.19999999999999996,1.5561321404340174,1.541803143792368,2.8242574758777828
0.7000000000000001,0.2,0.09999999999999987,0.499000098501461,0.4939148193774903,2.901650647395544
0.7000000000000001,0.30000000000000004,0,0.49889626419412747,0.49385324303832423,0.6121971958772692
0.8,0.0,0.19999999999999996,1.9277388866201735,1.910231758463614,1.7513411635540719
0.8,0.1,0.09999999999999998,2.1275062619147653,2.1085811750995473,1.1265532802689213
0.8,0.2,0,0.4988985355321723,0.49385734173057677,0.6012222661389248
0.8,0.30000000000000004,-0.10000000000000009,0.7091718571959913,0.7021792743883553,0.0
0.9,0.0,0.09999999999999998,2.269918419774914,2.2499913299706273,0.17793627743394635
0.9,0.1,0,2.286624970260813,2.266562799113288,1.6298276014403044e-13
0.9,0.2,-0.10000000000000009,0.7091718571959913,0.7021792743883553,0.0
1.0,0.0,0,2.286624970260755,2.266562799113231,2.246249412385379e-12
1.0,0.1,-0.10000000000000009,0.7091718571959913,0.7021792743883553,0.0
